FIPS,Year,Real_Weighted_Center_Price,Real_Weighted_Family_Care_Price
13315,2014,38.59334935143457,36.05985736219624
13315,2015,39.153719627503776,36.063906981190286
13315,2016,39.632742948714274,36.52897392261014
13315,2017,39.726658131752124,36.82553586535798
13315,2018,39.73207399137521,37.0313915426527
13315,2019,40.020122857716515,37.49348601438829
13315,2020,40.48707832104645,38.118628926989636
13315,2021,39.33942094924109,37.212965762795626
13315,2022,36.976193441896065,35.1352177090898
13317,1990,32.65117045788591,30.47305797988149
13317,1991,33.00841091799409,30.80874927152316
13317,1992,33.259706291462564,31.044901042131027
13317,1993,33.55371859952005,31.321210943221473
13317,1994,33.814869761679184,31.566652084557035
13317,1995,34.097026275233524,31.83184946036459
13317,1996,34.39248370164971,32.10956430062867
13317,1997,34.600560597681365,32.30515567389755
13317,1998,34.72514644129346,32.42226965768111
13317,1999,34.916053429058074,32.60173281422263
13317,2000,35.23049082703639,32.897335950497485
13317,2001,35.461752276598325,33.11475670534682
13317,2002,35.59054587585156,33.235846364640956
13317,2003,35.82174679896155,33.45322520955322
13317,2004,36.07742463330383,33.6936287595458
13317,2005,36.438852818672544,34.033484861686254
13317,2006,36.786091905637505,34.36002036623885
13317,2007,37.08648556610969,34.64252046207825
13317,2008,37.51713271358774,35.047542367373474
13317,2009,37.474422844413134,35.0073724881173
13317,2010,37.652065983841744,35.17445309205036
13317,2011,38.01565214884285,35.51643738301588
13317,2012,38.2421076832781,35.72944969946813
13317,2013,38.41028308289234,35.887647158830276
13317,2014,38.59334935143457,36.05985736219624
13317,2015,39.153719627503776,36.063906981190286
13317,2016,39.632742948714274,36.52897392261014
13317,2017,39.726658131752124,36.82553586535798
13317,2018,39.73207399137521,37.0313915426527
13317,2019,40.020122857716515,37.49348601438829
13317,2020,40.48707832104645,38.118628926989636
13317,2021,39.33942094924109,37.212965762795626
13317,2022,36.976193441896065,35.1352177090898
13319,1990,32.65117045788591,30.47305797988149
13319,1991,33.00841091799409,30.80874927152316
13319,1992,33.259706291462564,31.044901042131027
13319,1993,33.55371859952005,31.321210943221473
13319,1994,33.814869761679184,31.566652084557035
13319,1995,34.097026275233524,31.83184946036459
13319,1996,34.39248370164971,32.10956430062867
13319,1997,34.600560597681365,32.30515567389755
13319,1998,34.72514644129346,32.42226965768111
13319,1999,34.916053429058074,32.60173281422263
13319,2000,35.23049082703639,32.897335950497485
13319,2001,35.461752276598325,33.11475670534682
13319,2002,35.59054587585156,33.235846364640956
13319,2003,35.82174679896155,33.45322520955322
13319,2004,36.07742463330383,33.6936287595458
13319,2005,36.438852818672544,34.033484861686254
13319,2006,36.786091905637505,34.36002036623885
13319,2007,37.08648556610969,34.64252046207825
13319,2008,37.51713271358774,35.047542367373474
13319,2009,37.474422844413134,35.0073724881173
13319,2010,37.652065983841744,35.17445309205036
13319,2011,38.01565214884285,35.51643738301588
13319,2012,38.2421076832781,35.72944969946813
13319,2013,38.41028308289234,35.887647158830276
13319,2014,38.59334935143457,36.05985736219624
13319,2015,39.153719627503776,36.063906981190286
13319,2016,39.632742948714274,36.52897392261014
13319,2017,39.726658131752124,36.82553586535798
13319,2018,39.73207399137521,37.0313915426527
13319,2019,40.020122857716515,37.49348601438829
13319,2020,40.48707832104645,38.118628926989636
13319,2021,39.33942094924109,37.212965762795626
13319,2022,36.976193441896065,35.1352177090898
13321,1990,32.65117045788591,30.47305797988149
13321,1991,33.00841091799409,30.80874927152316
13321,1992,33.259706291462564,31.044901042131027
13321,1993,33.55371859952005,31.321210943221473
13321,1994,33.814869761679184,31.566652084557035
13321,1995,34.097026275233524,31.83184946036459
13321,1996,34.39248370164971,32.10956430062867
13321,1997,34.600560597681365,32.30515567389755
13321,1998,34.72514644129346,32.42226965768111
13321,1999,34.916053429058074,32.60173281422263
13321,2000,35.23049082703639,32.897335950497485
13321,2001,35.461752276598325,33.11475670534682
13321,2002,35.59054587585156,33.235846364640956
13321,2003,35.82174679896155,33.45322520955322
13321,2004,36.07742463330383,33.6936287595458
13321,2005,36.438852818672544,34.033484861686254
13321,2006,36.786091905637505,34.36002036623885
13321,2007,37.08648556610969,34.64252046207825
13321,2008,37.51713271358774,35.047542367373474
13321,2009,37.474422844413134,35.0073724881173
13321,2010,37.652065983841744,35.17445309205036
13321,2011,38.01565214884285,35.51643738301588
13321,2012,38.2421076832781,35.72944969946813
13321,2013,38.41028308289234,35.887647158830276
13321,2014,38.59334935143457,36.05985736219624
13321,2015,39.153719627503776,36.063906981190286
13321,2016,39.632742948714274,36.52897392261014
13321,2017,39.726658131752124,36.82553586535798
13321,2018,39.73207399137521,37.0313915426527
13321,2019,40.020122857716515,37.49348601438829
13321,2020,40.48707832104645,38.118628926989636
13321,2021,39.33942094924109,37.212965762795626
13321,2022,36.976193441896065,35.1352177090898
15001,1990,54.22110017607952,45.286082311494596
15001,1991,54.88925617076678,45.84795571256591
15001,1992,55.41601529652506,46.290956885810274
15001,1993,55.87627169382795,46.67805314809027
15001,1994,56.241972403238584,46.98563932035128
15001,1995,56.65419432797051,47.3323702066268
15001,1996,57.07954533637222,47.69016231659258
15001,1997,57.466753088249234,48.015885282893144
15001,1998,57.76785643083975,48.26918670420679
15001,1999,58.21221752558609,48.643019273520736
15001,2000,58.78215585457546,49.12252600414502
15001,2001,59.3850222084947,49.629770535361786
15001,2002,59.70828547183614,49.90177483339249
15001,2003,60.06336559633589,50.20056243081883
15001,2004,60.4577104610316,50.53240403186913
15001,2005,60.97650953033243,50.96899639779573
15001,2006,61.56095055341469,51.46085964669102
15001,2007,62.10930145250363,51.922378497688356
15001,2008,62.71758943828964,52.43437576145426
15001,2009,62.65073522516441,52.37810277187632
15001,2010,62.84342587521144,52.54029678260206
15001,2011,63.344785709390294,59.59806873713284
15001,2012,63.728308279144755,58.75678498066352
15001,2013,63.995218466272185,58.306194450098374
15001,2014,64.33111009373121,57.64003080573653
15001,2015,64.54300743002402,56.97590683702652
15001,2016,64.89405102931336,55.89713570577905
15001,2017,65.41165130872224,58.12900574969838
15001,2018,70.45130619275106,37.9835626983916
15001,2019,69.23617532827814,55.4836323284631
15001,2020,68.6722307659059,55.933860981542004
15001,2021,66.29742224572028,54.84984034449414
15001,2022,61.93343474388468,52.024256945853416
15003,1990,84.54264823595555,56.5021110757721
15003,1991,85.5844507269074,57.20314396926646
15003,1992,86.40578432820732,57.75586348527988
15003,1993,87.12342551529434,58.238832090466744
15003,1994,87.69363354012123,58.622598298170914
15003,1995,88.33637839525299,59.05520421261031
15003,1996,88.99959438613726,59.501610890058544
15003,1997,89.60333663140464,59.90800584149761
15003,1998,90.07282312084573,60.22404256430944
15003,1999,90.7656800271218,60.690462450442006
15003,2000,91.65433952513018,61.288728875189406
15003,2001,92.59434107299941,61.92160293676645
15003,2002,93.09837976405386,62.260974687996885
15003,2003,93.65202795569283,62.63376317302691
15003,2004,94.26689853322368,63.0477921648293
15003,2005,95.07582065170904,63.592515600712765
15003,2006,95.98709304693246,64.20619888936666
15003,2007,96.84209298276923,64.78202236650581
15003,2008,97.7905480499195,65.42082627250083
15003,2009,97.68630759362141,65.35061612082933
