,id,period,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH_TOTAL_RAW_SCORE,PIAT_READ_REC_TOTAL_RAW_SCO,PIAT_READ_COMP_TOTAL_RAW_SC,PPVT_TOTAL_RAW_SCORE,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,MOM_HELPS_CH_W_NONE,IF_LOW_GRADES,MUSICAL_INSTMT_CH,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,HOW_OFT_PARENTS_HELP_WITH_H,TYPE_OF_SCHOOL_RECODE,DOES_CHILD_USE_ANY_COMPUTER,DOES_CHILD_NEVER_USE,MOMHGC_EVER_XRND,TOTAL_FAMILY_INCOME_FR_ALL,FAMILY_INCOME_FROM_ALL_SOUR,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,VERSION_R29_XRND,HIGHEST_GRADE_OF_REGULAR_SC,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,MOM_RACE_ID,MOM_RACE_ENCODED,MOM_SEX,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,Q2_15C,Q2_15A_PRE,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
40849,747004,2,7470.0,2.0,1.0,1986.0,13.498397093093264,16.5,7.0,3.1,1.0,2.0,,,0.028846153846153848,0.7,1.0,0.028846153846153848,1.0,1.0,0.0,55.75,56.5,47.5,114.8,,,5.0,5.0,,1.0,1.0,,1.0,1.0,3.0,,,,16.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,532.0,,51.99978089591848,38.863685859523116,,2.0,,11.126127630488522,406.03441681246056,14.0,64026.70288494912,,,,,,,,,,,,,,,,,,16.0,4.0
40850,747004,3,7470.0,2.0,1.0,1986.0,14.0,20.0,7.0,1.0,1.0,2.0,,,0.028846153846153848,0.0,1.0,0.028846153846153848,1.0,1.0,0.0,65.0,61.0,54.0,119.0,,,5.0,5.0,,1.0,1.0,,1.0,1.0,3.0,,,,16.0,4.0,,5.0,0.0,0.0,0.0,0.0,0.0,532.0,,52.0,45.0,,2.0,,4.4408920985006264e-17,-2.842170943040401e-15,14.0,88690.0,,,,,,,,,,,,,,,,,,16.0,4.0
7325,747501,-1,7475.0,2.0,1.0,1990.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,8.0,0.0,0.0,1.0,0.0,0.0,532.0,,50.0,55.0,,2.0,,52.0,2646.0,16.0,-2.0,,,,,,,,,,,,,,,,,,17.0,4.0
40851,747501,0,7475.0,2.0,1.0,1990.0,20.817874804004344,20.0,3.0,7.0,,,,,0.23014959723820486,1.0,1.0,0.19230769230769232,1.0,1.0,0.0,15.0,21.0,18.0,52.0,,,,4.0,,1.0,1.0,,1.0,,1.0,,,,17.0,6.0,,8.0,0.0,0.0,1.0,0.0,0.0,532.0,,50.92761980862783,47.285110863184975,,2.0,,47.791566156072854,2222.858679592329,16.0,58916.672705314006,,,,,,,,,,,,,,,,,,17.0,4.0
40852,747501,1,7475.0,2.0,1.0,1990.0,15.830177300687494,20.0,3.0,7.0,,,,,0.23014959723820486,1.0,1.0,0.19230769230769232,1.0,1.0,0.0,15.0,21.0,18.0,52.0,,,,4.0,,1.0,1.0,,1.0,,1.0,,,,17.0,6.0,,8.0,0.0,0.0,1.0,0.0,0.0,532.0,,50.65785858829521,51.15644222651068,,2.0,,-1.1582752884654046,-39.889620103458924,16.0,207078.42805383023,,,,,,,,,,,,,,,,,,17.0,4.0
40853,747501,2,7475.0,2.0,1.0,1990.0,17.914364974068267,20.0,3.0,7.0,,,,,0.23014959723820488,1.0,1.0,0.19230769230769232,1.0,1.0,0.0,15.0,21.0,18.0,52.0,,,,4.0,,1.0,1.0,,1.0,,1.0,,,,17.0,6.0,,8.0,0.0,0.0,1.0,0.0,0.0,532.0,,50.765957731944944,5.259196719334211,,2.0,,-4.908987657299088,-120.26700974282714,16.0,785890.0538302277,,,,,,,,,,,,,,,,,,17.0,4.0
40854,747501,3,7475.0,2.0,1.0,1990.0,16.0,20.0,3.0,7.0,,,,,0.23014959723820488,1.0,1.0,0.19230769230769232,1.0,1.0,0.0,15.0,21.0,18.0,52.0,,,,4.0,,1.0,1.0,,1.0,,1.0,,,,17.0,6.0,,8.0,0.0,0.0,1.0,0.0,0.0,532.0,,52.0,50.0,,2.0,,48.75,1586.2,16.0,497221.3884057971,,,,,,,,,,,,,,,,,,17.0,4.0
7326,747502,-1,7475.0,2.0,2.0,1994.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,8.0,0.0,1.0,0.0,0.0,0.0,532.0,,51.0,45.0,,2.0,,52.0,2416.0,16.0,68050.0,,,,,,,,,,,,,,,,,,17.0,4.0
40855,747502,0,7475.0,2.0,2.0,1994.0,19.445709857082807,20.0,,7.0,1.0,1.0,1.0,1.0,0.22187168053465522,1.0,1.0,0.19230769230769232,1.0,0.23014959723820486,0.0,60.0,59.0,62.0,142.0,,,3.25,5.0,,1.0,1.0,,,,2.0,,1.0,,17.0,,,8.0,0.0,1.0,0.0,0.0,0.0,532.0,,50.97404517537714,50.009596410723454,,2.0,,10.382893139040679,464.7398971323152,16.000167845967024,143292.07410714283,,,,,,,,,,,,,,,,,,17.0,4.0
40856,747502,1,7475.0,2.0,2.0,1994.0,16.618300756620428,20.0,,7.0,1.0,1.0,1.0,1.0,0.15683090643533681,1.0,1.0,0.19230769230769232,1.0,0.23014959723820486,0.0,60.0,59.0,62.0,142.0,,,2.0,5.0,,1.0,1.0,,,,2.0,,1.0,,17.0,,,8.0,0.0,1.0,0.0,0.0,0.0,532.0,,50.62801247022558,2.6963359955163257,,2.0,,-12.300774134790524,-408.0510893933023,16.003196371024238,334060.20357142854,,,,,,,,,,,,,,,,,,17.0,4.0
