id,period,year,MPUBID_XRND,CRACE_XRND,CSEX_XRND,CYRB_XRND,HGC_OF_MOTHER_AS_OF_MAY_1_R,HOW_MANY_BOOKS,HOW_OFTEN_MOM_READS,HOW_OFT_CH_EATS_W,MOM_HELPS_CH_LEARN_NUMBERS,MOM_HELPS_CH_LEARN_ALPHABET,MOM_HELPS_CH_LEARN_COLORS,MOM_HELPS_CH_LEARN_SHAPES,HOW_OFT_CH_TAKEN_TO_MUSEUM,MUSIC_INSTMT_CH,CH_GET_SPEC_LESSON,HOW_OFT_CH_TAKEN_TO_PERFORMANCE,HOW_OFT_CH_SPEND_TIME_W_DAD,HOW_OFT_CH_W_DAD_OUTDOORS,DO_PARS_DISCUSS_TV,PIAT_MATH,PIAT_READ_REC,PIAT_READ_COMP,PPVT,CHILD_EVER_ENROLLED_IN_HEAD,HOW_LONG_CHILD_WAS_IN_HEAD,IF_LOW_GRADES,TYPE_OF_SCHOOL,CH_ATTENDS_PUBLIC_PRIV_RELI,CHILD_AGE_WHEN_1ST_ATTD_HEA,IS_SCHOOL_GIFTED_HANDICAPPED,OWN_A_HOME_COMPUTER,PARS_HELP_W_HOMEWORK,DOES_CHILD_USE_ANY_COMPUTER,MOMHGC_EVER_XRND,HGC_YEARLY_CHILD,HGC_DLI_XRND,ASSOCIATES_XRND,BA_XRND,BS_XRND,MASTERS_XRND,PROFDEGREE_XRND,SPOUSE_WKSWK_PCY,SPOUSE_HRSWK_PCY,LABOR_INCOME,MOM_RACE_ENCODED,WKSWK_PCY,HRSWK_PCY,HGC_REV_MOM,TNFI_TRUNC,ASVAB_1,ASVAB_2,ASVAB_3,ASVAB_4,ASVAB_5,ASVAB_6,ASVAB_7,ASVAB_8,ASVAB_9,ASVAB_10,ASVAB_11,ASVAB_12,AFQT_1,AFQT_2,AFQT_3,HGC_EVER_XRND,HIGHEST_DEGREE_EVER_XRND
403.0,-1,1996.0,4.0,3.0,2.0,1997.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,52.0,40.0,77945.89178356715,3.0,52.0,2392.0,14.0,,,,,,,,,,,,,,,,,14.0,1.0
403.0,0,1999.6666666666667,4.0,3.0,2.0,1997.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,52.0,41.38888888888889,50447.92680599294,3.0,38.51851851851852,1268.148148148148,14.0,157337.38519366778,,,,,,,,,,,,,,,,14.0,1.0
403.0,1,2004.5,4.0,3.0,2.0,1997.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,52.0,45.416666666666664,109215.56613226453,3.0,34.22222222222222,1233.7777777777778,14.0,256757.22796386428,,,,,,,,,,,,,,,,14.0,1.0
403.0,2,2009.0,4.0,3.0,2.0,1997.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,52.0,49.16666666666667,163930.264815345,3.0,30.22222222222222,1201.7777777777778,14.0,349320.5298533576,,,,,,,,,,,,,,,,14.0,1.0
403.0,3,2014.0,4.0,3.0,2.0,1997.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,52.0,53.333333333333336,224724.37446321215,3.0,25.77777777777778,1166.2222222222222,14.0,452168.64306390565,,,,,,,,,,,,,,,,14.0,1.0
801.0,-1,,8.0,3.0,2.0,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,7.0,1.0,0.0,0.0,0.0,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,14.0,2.0
801.0,0,1979.5,8.0,3.0,2.0,1976.0,12.0,20.0,1.0,7.0,,,,,0.1346153846153846,1.0,1.0,0.1346153846153846,1.0,1.0,0.0,48.0,55.0,55.0,110.0,0.0,,2.0,1.0,1.0,,1.0,,,,14.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,22.666666666666668,40.833333333333336,2093.505964309572,3.0,15.333333333333334,381.1666666666667,12.0,12085.302891497282,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,14.0,2.0
801.0,1,1983.5,8.0,3.0,2.0,1976.0,12.0,20.0,1.0,7.0,,,,,0.1346153846153846,1.0,1.0,0.1346153846153846,1.0,1.0,0.0,48.0,55.0,55.0,110.0,0.0,,2.0,1.0,1.0,,1.0,,,,14.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,40.75,38.5,12079.695104494705,3.0,52.0,2076.5,12.0,34409.02590706381,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,14.0,2.0
801.0,2,1988.0,8.0,3.0,2.0,1976.0,12.0,18.75,1.0,1.75,,,,,0.1346153846153846,1.0,0.75,0.1346153846153846,2.5,1.0,0.0,52.75,64.75,59.25,123.0,0.0,,2.3,1.1,1.0,,1.0,,,,14.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,80.97861254165404,81.22780975461983,15984.811680503868,3.0,36.0,1470.4,12.0,46584.41885232276,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,14.0,2.0
801.0,3,1992.8,8.0,3.0,2.0,1976.0,12.0,3.5375,1.0,0.08749999999999997,,,,,0.1346153846153846,0.1375,-0.05,0.043389423076923075,5.5625,1.0,0.0,55.85,69.1625,59.8625,147.7,0.0,,3.9,1.8,1.0,,1.0,,,,14.0,12.0,7.0,1.0,0.0,0.0,0.0,0.0,52.0,40.0,38734.42885771544,3.0,52.0,2048.8,12.0,45733.97423418266,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,14.0,2.0
802.0,-1,,8.0,3.0,1.0,1979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,6.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,,,,,,,,,,,,,,,,,,,,14.0,2.0
802.0,0,1981.5,8.0,3.0,1.0,1979.0,12.0,10.0,1.0,7.0,,,,,0.1346153846153846,0.0,0.0,0.1346153846153846,1.0,1.0,0.0,41.0,22.0,21.0,111.0,0.0,,3.0,3.0,1.0,,1.0,,1.0,,14.0,9.0,6.0,0.0,0.0,0.0,0.0,0.0,41.5,42.5,8015.526195247639,3.0,39.333333333333336,1400.1666666666667,12.0,26185.082975474765,51.0,1.0,18.0,13.0,35.0,12.0,24.0,48.0,11.0,4.0,12.0,12.0,43.0,42.0,44022.0,14.0,2.0
